iter	Passed	Remaining
0	61	61761
1	65	32683
2	69	23055
3	74	18500
4	77	15496
5	82	13608
6	85	12115
7	88	10980
8	92	10142
9	96	9553
10	100	9017
11	104	8576
12	107	8177
13	111	7821
14	114	7522
15	118	7278
16	121	7048
17	125	6850
18	129	6668
19	132	6496
20	136	6355
21	140	6236
22	143	6113
23	147	6001
24	151	5912
25	155	5826
26	159	5754
27	163	5664
28	166	5578
29	169	5491
30	173	5420
31	177	5363
32	181	5308
33	184	5252
34	189	5211
35	193	5169
36	196	5123
37	200	5085
38	204	5042
39	208	4997
40	211	4949
41	215	4915
42	219	4879
43	222	4837
44	227	4823
45	232	4813
46	236	4796
47	241	4780
48	246	4783
49	251	4771
50	255	4753
51	259	4727
52	263	4708
53	266	4676
54	270	4650
55	274	4622
56	278	4601
57	282	4581
58	285	4560
59	289	4536
60	293	4521
61	297	4498
62	301	4477
63	304	4457
64	308	4439
65	312	4417
66	315	4400
67	319	4381
68	323	4363
69	326	4342
70	330	4323
71	333	4302
72	337	4280
73	340	4263
74	343	4241
75	347	4219
76	350	4197
77	353	4179
78	356	4158
79	359	4139
80	363	4125
81	367	4108
82	370	4089
83	373	4071
84	376	4056
85	380	4038
86	383	4029
87	387	4015
88	390	4000
89	394	3986
90	398	3979
91	401	3965
92	405	3956
93	408	3939
94	411	3924
95	415	3912
96	418	3897
97	421	3883
98	425	3870
99	428	3857
100	431	3844
101	435	3831
102	438	3820
103	441	3806
104	444	3791
105	448	3778
106	451	3765
107	454	3754
108	457	3740
109	460	3729
110	464	3719
111	467	3707
112	471	3697
113	474	3687
114	477	3677
115	481	3668
116	484	3658
117	488	3647
118	491	3637
119	494	3626
120	497	3617
121	501	3608
122	504	3598
123	508	3589
124	511	3582
125	516	3580
126	519	3572
127	523	3565
128	526	3558
129	530	3551
130	534	3544
131	537	3537
132	541	3531
133	545	3524
134	548	3516
135	552	3508
136	555	3500
137	559	3494
138	562	3486
139	566	3477
140	569	3471
141	573	3464
142	577	3458
143	580	3451
144	583	3442
145	587	3438
146	592	3438
147	596	3435
148	600	3429
149	604	3423
150	607	3417
151	611	3409
152	615	3406
153	619	3400
154	622	3394
155	626	3387
156	629	3381
157	633	3375
158	636	3369
159	640	3362
160	643	3355
161	647	3348
162	651	3344
163	654	3337
164	658	3332
165	662	3326
166	665	3319
167	673	3335
168	682	3357
169	691	3374
170	702	3406
171	710	3421
172	716	3426
173	721	3423
174	726	3425
175	732	3430
176	736	3426
177	740	3419
178	744	3413
179	747	3406
180	751	3399
181	754	3392
182	758	3386
183	762	3380
184	766	3375
185	769	3367
186	773	3361
187	777	3356
188	781	3352
189	784	3346
190	788	3339
191	792	3333
192	795	3327
193	799	3321
194	803	3315
195	806	3309
196	810	3305
197	814	3297
198	817	3290
199	821	3285
200	825	3280
201	828	3274
202	832	3268
203	836	3262
204	839	3255
205	843	3249
206	846	3242
207	850	3237
208	853	3229
209	856	3222
210	860	3215
211	863	3210
212	867	3204
213	870	3197
214	874	3194
215	878	3188
216	882	3182
217	885	3176
218	889	3170
219	892	3164
220	896	3158
221	899	3153
222	903	3148
223	906	3141
224	910	3136
225	914	3131
226	918	3126
227	921	3119
228	924	3114
229	928	3108
230	932	3103
231	935	3096
232	938	3090
233	942	3085
234	946	3081
235	949	3075
236	953	3070
237	956	3063
238	961	3062
239	965	3056
240	968	3050
241	972	3045
242	975	3039
243	979	3034
244	983	3029
245	986	3025
246	990	3018
247	993	3012
248	997	3007
249	1000	3002
250	1004	2998
251	1008	2992
252	1011	2986
253	1015	2981
254	1018	2976
255	1022	2970
256	1025	2965
257	1029	2960
258	1033	2955
259	1036	2950
260	1040	2945
261	1043	2938
262	1046	2933
263	1050	2928
264	1053	2923
265	1057	2917
266	1061	2913
267	1065	2911
268	1069	2906
269	1072	2900
270	1076	2895
271	1080	2891
272	1084	2887
273	1087	2881
274	1091	2876
275	1094	2871
276	1098	2866
277	1101	2860
278	1105	2856
279	1110	2854
280	1113	2849
281	1116	2843
282	1120	2839
283	1124	2833
284	1128	2830
285	1131	2825
286	1135	2820
287	1138	2815
288	1141	2808
289	1144	2803
290	1148	2797
291	1151	2792
292	1155	2787
293	1158	2780
294	1161	2775
295	1164	2769
296	1167	2764
297	1171	2759
298	1174	2754
299	1178	2749
300	1181	2744
301	1185	2739
302	1188	2734
303	1192	2729
304	1195	2724
305	1198	2718
306	1202	2714
307	1205	2709
308	1209	2703
309	1212	2698
310	1215	2692
311	1218	2687
312	1222	2682
313	1225	2678
314	1229	2672
315	1232	2667
316	1235	2661
317	1238	2656
318	1242	2651
319	1245	2646
320	1248	2641
321	1251	2636
322	1255	2631
323	1258	2625
324	1261	2620
325	1264	2615
326	1268	2610
327	1271	2605
328	1274	2600
329	1278	2595
330	1281	2590
331	1284	2585
332	1287	2579
333	1290	2574
334	1293	2568
335	1297	2563
336	1300	2558
337	1303	2553
338	1307	2549
339	1311	2545
340	1314	2540
341	1317	2535
342	1321	2531
343	1325	2526
344	1328	2522
345	1331	2517
346	1335	2513
347	1338	2508
348	1342	2504
349	1346	2500
350	1349	2495
351	1353	2491
352	1357	2487
353	1361	2483
354	1364	2479
355	1368	2475
356	1371	2470
357	1376	2467
358	1379	2463
359	1383	2459
360	1387	2455
361	1390	2451
362	1394	2447
363	1398	2442
364	1402	2439
365	1405	2434
366	1409	2430
367	1412	2426
368	1416	2421
369	1419	2417
370	1423	2413
371	1426	2408
372	1430	2404
373	1433	2400
374	1437	2395
375	1441	2391
376	1444	2387
377	1448	2383
378	1451	2379
379	1455	2374
380	1459	2370
381	1462	2365
382	1466	2362
383	1469	2357
384	1473	2353
385	1477	2349
386	1480	2345
387	1484	2341
388	1488	2337
389	1491	2332
390	1495	2328
391	1498	2324
392	1502	2320
393	1506	2316
394	1509	2311
395	1513	2307
396	1516	2303
397	1520	2299
398	1524	2296
399	1527	2291
400	1531	2287
401	1535	2283
402	1538	2279
403	1542	2275
404	1546	2271
405	1549	2266
406	1552	2262
407	1556	2258
408	1559	2254
409	1563	2250
410	1567	2245
411	1570	2241
412	1573	2236
413	1576	2231
414	1580	2227
415	1583	2223
416	1587	2219
417	1590	2214
418	1594	2210
419	1597	2206
420	1601	2202
421	1605	2199
422	1609	2195
423	1613	2191
424	1617	2187
425	1620	2184
426	1624	2180
427	1628	2176
428	1631	2171
429	1634	2167
430	1639	2163
431	1642	2159
